filename,sha256,byte_size,creation_source_path,source_script,source_dataset,authentic_camera_provenance,synthetic_provenance,classification
01_front_hero.jpg,41bd80988e0d8583c952ed43e8837f6098aac5095e5197dbbe0bea0aa7ec5227,368084,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
02_front_center.jpg,cbe97ac95f20fc16ce13ddb587f6933131f9a543d394dd07dcebc5a4fd2b14ef,379833,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
03_left_angle.jpg,f5ec4dd6e5b21c6ca843ebf1415fc6a82cb910628c09708b627045b770e74618,391936,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
04_right_angle.jpg,874be297d138ae99002b2ac73185f32c5b04df5fdb3408704850351d87cf061f,418072,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
05_left_side.jpg,6906577b24548cbd33b2bd812155125579274714d669e1b97b2852f039636ac3,331003,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
06_right_side.jpg,7151bc015294809f5bb92fb06652c65bb3d7b4cae47e510ac4e7e7292b923e53,387499,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
07_interior_view.jpg,ffbd2e1e0ffe324063033ded0f8235ddcc6d63dcdc358a008e59555450c22674,373061,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
08_product_island.jpg,d8d46d45ce0776cd077da286d6d062558633805ca0976592256bb955fea07357,402942,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
09_meeting_area.jpg,803a8e64fa3134a3138a48b5e802c3df1e0d0913c0f46d34e6acbb3896375bc0,323145,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
10_display_screen.jpg,92d198c6d8f2503ce8e3bf11d0780c757e19c3d20e7437683cb24f0727330ff2,419361,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
11_overhead_sign.jpg,01c167f889f2ff1d574bea7beb14a1edb27dceb07569e7ada5c81ddf87e51746,432736,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
12_wide_overview.jpg,cd5858c7d262f3faa5f2776a6ebaaf234887154cb6aa13c7fe906b82299dec75,404162,phase9_5-synthetic-pilot / AUREX Synthetic Studio render pipeline,phase9_5-synthetic-pilot/booth/scene/studio.js -> render_aurex / single_studio.html,Synthetic multi-view studio camera trajectory,no,yes,SYNTHETIC_RENDER
