filename,title,source_file,format,dimension,size_bytes,magic_byte,sha256,status
01_front_hero.jpg,"Front Hero View",wilo_60_001.jpg,JPEG,1600x900,368084,FFD8FFE0,41bd80988e0d8583c952ed43e8837f6098aac5095e5197dbbe0bea0aa7ec5227,VALID_PRODUCTION_ASSET
02_front_center.jpg,"Front Center Elevation",wilo_60_002.jpg,JPEG,1600x900,379833,FFD8FFE0,cbe97ac95f20fc16ce13ddb587f6933131f9a543d394dd07dcebc5a4fd2b14ef,VALID_PRODUCTION_ASSET
03_left_angle.jpg,"Left Perspective Angle",wilo_60_018.jpg,JPEG,1600x900,391936,FFD8FFE0,f5ec4dd6e5b21c6ca843ebf1415fc6a82cb910628c09708b627045b770e74618,VALID_PRODUCTION_ASSET
04_right_angle.jpg,"Right Perspective Angle",wilo_60_042.jpg,JPEG,1600x900,418072,FFD8FFE0,874be297d138ae99002b2ac73185f32c5b04df5fdb3408704850351d87cf061f,VALID_PRODUCTION_ASSET
05_left_side.jpg,"Left Flank Perspective",wilo_60_021.jpg,JPEG,1600x900,331003,FFD8FFE0,6906577b24548cbd33b2bd812155125579274714d669e1b97b2852f039636ac3,VALID_PRODUCTION_ASSET
06_right_side.jpg,"Right Flank Perspective",wilo_60_041.jpg,JPEG,1600x900,387499,FFD8FFE0,7151bc015294809f5bb92fb06652c65bb3d7b4cae47e510ac4e7e7292b923e53,VALID_PRODUCTION_ASSET
07_interior_view.jpg,"Interior Walkthrough",wilo_60_004.jpg,JPEG,1600x900,373061,FFD8FFE0,ffbd2e1e0ffe324063033ded0f8235ddcc6d63dcdc358a008e59555450c22674,VALID_PRODUCTION_ASSET
08_product_island.jpg,"Central Product Island",wilo_60_003.jpg,JPEG,1600x900,402942,FFD8FFE0,d8d46d45ce0776cd077da286d6d062558633805ca0976592256bb955fea07357,VALID_PRODUCTION_ASSET
09_meeting_area.jpg,"Executive Meeting Lounge",wilo_60_023.jpg,JPEG,1600x900,323145,FFD8FFE0,803a8e64fa3134a3138a48b5e802c3df1e0d0913c0f46d34e6acbb3896375bc0,VALID_PRODUCTION_ASSET
10_display_screen.jpg,"Digital Presentation Wall",wilo_60_043.jpg,JPEG,1600x900,419361,FFD8FFE0,92d198c6d8f2503ce8e3bf11d0780c757e19c3d20e7437683cb24f0727330ff2,VALID_PRODUCTION_ASSET
11_overhead_sign.jpg,"Overhead Truss & Signage",wilo_60_058.jpg,JPEG,1600x900,432736,FFD8FFE0,01c167f889f2ff1d574bea7beb14a1edb27dceb07569e7ada5c81ddf87e51746,VALID_PRODUCTION_ASSET
12_wide_overview.jpg,"Panoramic Hall Overview",wilo_60_060.jpg,JPEG,1600x900,404162,FFD8FFE0,cd5858c7d262f3faa5f2776a6ebaaf234887154cb6aa13c7fe906b82299dec75,VALID_PRODUCTION_ASSET
