FileName,FileSize,Classification,Reason
ChatGPT Image 2026년 8월 17일 오전 03_58_23_1.jpg,99764,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_10.jpg,81673,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_11.jpg,66163,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_12.jpg,68482,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_13.jpg,70797,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_14.jpg,67541,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_15.jpg,70125,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_16.jpg,69210,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_17.jpg,66414,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_18.jpg,87574,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_19.jpg,79357,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_2.jpg,84125,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_20.jpg,83860,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_3.jpg,87948,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_4.jpg,76438,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_5.jpg,78891,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_6.jpg,82657,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_7.jpg,75597,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_8.jpg,76890,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
ChatGPT Image 2026년 8월 17일 오전 03_58_23_9.jpg,93504,REJECTED_SYNTHETIC,AI DALL-E generated synthetic image
booth01_a1_1787070019183.jpg,721779,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth01_a2_1787070037115.jpg,872689,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth01_a3_1787070052150.jpg,727032,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth02_a1_1787070070691.jpg,721476,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth02_a2_1787070091133.jpg,935091,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth02_a3_1787070104226.jpg,671611,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth03_a1_1787070141591.jpg,684875,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth03_a2_1787070152139.jpg,806350,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth03_a3_1787070825035.jpg,646402,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth04_a1_1787070866680.jpg,802436,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth04_a2_1787070881705.jpg,868513,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth04_a3_1787070900478.jpg,610862,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth05_a1_1787070942987.jpg,740169,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth05_a2_1787070958282.jpg,888162,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth05_a3_1787071656024.jpg,686827,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth06_a1_1787071684860.jpg,661556,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth06_a2_1787071694387.jpg,771733,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth06_a3_1787071706216.jpg,632679,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth07_a1_1787071736522.jpg,704057,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth07_a2_1787071748400.jpg,913412,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth07_a3_1787072118180.jpg,655414,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth08_a1_1787070145436.jpg,736719,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth08_a2_1787070160492.jpg,792833,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth08_a3_1787072151110.jpg,638278,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth09_a1_1787072159575.jpg,718283,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth09_a2_1787072171055.jpg,800812,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth09_a3_1787072204197.jpg,596938,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth10_a1_1787072215608.jpg,723902,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth10_a2_1787072461761.jpg,896594,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth10_a3_1787072470284.jpg,676519,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
